,0
10,
11,"[id784261032|Georgiana], группа распространения фейковой информации."
12,"Кто и как зарабатывает на войнах.
https://youtu.be/oKPsglaLgGA"
13,
14,И после этого вы все ещё пасть открываете на Европу ? Двуличные пустобрёхи
15,Мало дали😡😡😡
16,"[id122867759|Денис], расстреливать надо таких родителей!"
17,Зачем  это  показывать????
18,А мать не наказали или она ни при делах?
19,"[id210030242|Ольга], согласен. Её как со участницу. Знала и тишина"
20,"[id210030242|Ольга], это не мать а сука драная столько лет молчала тварь ее тоже на нары за соучастие и сокрытие лет 7"
21,"Хахахаха Хахахаха Хахахаха, к 7 годам"
22,Хаахахахахахаххахахаххахаха
23,Пуст горят 🔥 в аду такие родители🤮👽🐍
24,Расстрел
25,"Готовили пацана к взрослой жизни в россии, чтоб вырос и путина охранял и что в чемодане НАТО не рассказывал даже под пытками 🤔"
26,"[id551063378|Виталий], 😂"
27,"[id551063378|Виталий], страшный юмор."
28,"[id551063378|Виталий], смешно"
29,Чего только не придумают ! Правильно говорят помойка !
30,"Мамашу,туда же!"
31,"Таблетки называются... Это типа "" избавитесь от жира, но потеряете память ""."
32,Называются... Наеблан форте
33,
34,"[id759294143|Дмитрий], 🤣🤣🤣"
35,"[id759294143|Дмитрий], 🤣"
36,Название огонь!🤣
37,🤣🤣
38,Задолбали эти вруны и мошенники!
39,Ерунда.????????
40,Называется ПУРГЕН
41,Худейте во сне - пурген+ снотворное🤣
42,Жрать надо меньше по ночам.
43,"УБЕЙСЕБИН,ЛОХЕИН ДРИСТАН ГОЛД👍"
44,Боже. мой .. Бедный мужчина .🤧🤧🤧
45,"[id551832875|Наталья], реформы. Они самые. Толь 80 тыс профессоров врачей уехало в Израиль. Так что скоро не кого не останется"
46,"[id630064733|Марк], Как не останется. Полным полно азиатов с дипломами спешат нам на помощь. Даже в Питере трудно найти славянина уролога"
47,"[id382218197|Юрий], ну красота. Продолжаем дальше"
48,"[id630064733|Марк], где ты столько профессоров трудоустроилл в Израиле. Каждому профессору по два пациента"
49,"[id522372499|Артем], может по этому и у них медицина. К  стати статистику смотри. Это не ко мне вопросы))"
50,"[id630064733|Марк],чтоб смотреть статистику надо жить в Израиле, видеть своими глазами."
51,"[id679174700|Кристина], понятно. Не спорю. Смысла нет)) жизнь вам уже показала. Один хрен. 40 проц дефицит врачей в России это тоже не видно?"
52,"[id630064733|Марк], надо начинать с себя, как мы сами относимся к своему здоровью. В школах 70%детей которые курят вейп,   я уже не говорю про энергетики. После 20 ти, сами понимаете, что начинаются проблемы со здоровьем."
53,"[id679174700|Кристина], знаете. По-моему вы не ко мне. Вы хотите свою отсталость оправдывать. Да в перед. Ну еще немного осталось)))"
54,"[id630064733|Марк], и вам не хварать"
55,"своих не бросаем, х¥ле 🤬🤬"
56,"Народ у нас какой спокойный, ни чем не удивишь."
57,"[id445664835|Ирина-Л], не с ними беда и ладно"
58,Равнодушие окружающих ведёт к деградации общества
59,"Наш народ ничем не удивишь, прочтут, поохают, кулачками словесно потрясут и на другие новости переключатся. Инертно живём и тихо вымираем."
60,"Один вопрос, нахер вы идёте в медицину, если от вас, как от козла, молока.?"
61,"[id465783380|Денис], а пофесора убежали из страны. Учить не каму"
62,"[id630064733|Марк], видимо как и учителя русского языка🙃"
63,"[id44025057|Наталья], и это тоже. Вы свой язык то родной просрали."
64,"[id44025057|Наталья], от русских женщин не чего не осталось. Одни губашлепы как вы"
65,Сейчас пока в компьютер твои данные не внесут на больного не глядят хоть умри даже анализы взять не могут а если ещё компьютер зависает то вообще. Караул
66,"[id517502113|Любовь], что есть, то есть"
67,"[id465783380|Денис], я училась ещё в Советском союзе. От простых медсестёр ничего не зависит"
68,"[id637889922|Ирина], а простой мед сестре из Советского союза трудно вызвать более опытного специалиста или наблюдать с безрозличием как человек лежит неподавая признаки жизни, элементарно подайти к человеку и вызвать скорую"
69,Твари!!! И так по всей России!!!
70,"И сколько он так пролежал,  пока не появился запах?"
71,
72,"[id365509719|Наташа], а почему ты живёшь в РОССИИ ? Значит ты тварь самая настоящая!!!"
73,"[id365509719|Наташа], побирушки хохлятские👎 позорная нация"
74,"[id199792788|Елена], Не то что мы только китайцам готовы унитазы мыть и побираться."
75,Показалось им что бомж а разве он не человек плевать на него да врачи?Все хотят жить и комментарий выше я согласен с мужчиной зачем вообще идут в медицину работать жаль мужика😔😔😔
76,"Как таких людей земля ещё носит? Как можно выкинуть живое существо на мороз-это же член семьи!!! Надеюсь её бывшим хозяевам воздастся по заслугам. Спасибо людям, кто работает в этом транспорте, что не выгнали собачку на мороз"
77,"Спасибо вам, за приют для Пальмы."
78,Какое хорошее завершение истории . Спасибо за спасенную душу от души!😊👍
79,Молодец дай бог тебе здоровья за доброту. Пальма просто чудо.
80,"Побольше бы таких людей, которые не безразлично поступили, что держали в тепле собачку, подкармливали  и той девушке, что приютила её!!!"
81,"[id116035209|Саня], у меня две собаки. Одна смесь овчарки с кавказцев красивая, на заправке собака родила, а её машина сбила, ощенилась в плитах. Спасибо МЧС достали, я взяла и всех разобрали. А вторая смесь лабрадора с охотничей из приюта в Светогорска, Лена в лесу щенков нашла, так первая воспитала её как своего щенка. Обе девочки."
82,"[id236114125|Светлана], видно что вы человек с хорошим сердцем?!! Побольше бы таких людей на земле...!)"
83,"Огромное вам спасибо, что приютили собачулю."
84,"Счастья собачуле и её новым любящим хозяевам! А прежним, сволочам желаю, чтобы они тоже были вы брошены, но только чтобы им никто не помог! Пальма просто лапочка!"
85,"Дай Бог хозяйки всего хорошего и долгих лет жизни, за спасение 🐶🐩собаки 🙏🙏🙏🙏🙏🐕🐕🐕🐕"
86,Твари их на улицу и отпиз....и оставить в холод
87,Как вообще можно держать собаку в квартире
88,"[id752454189|Ален], А вы зачем не на морозе? Дили же в пещерах, вот и иди туда!"
89,"[id752454189|Ален], НА водочку деньги всегда находяттся!"
90,"[id710667718|Эдуард], а что твоя свободная?)) Пошли поссым , я угощаю ))) и колбасу мою заодно вернешь 😉"
91,"Это мошенники. Разводят на дизайн, берут предоплату и исчезают."
92,Мошейники
93,Дур дом🤮🐒
94,"[id491661842|Лаура], к тому же, об этом уже писали.."
95,
96,Бабы дуры. Есть подсказка на определенных строениях. РОДИЛЬНЫЙ ДОМ.
97,Ужас
98,"Чем такие 'мамашки' думают??? Средневековье что ли? Роддомов куча, условия хорошие...чё бл@ть надо?"
99,Где был мозг?
100,"[id383034712|Наташа], а он разве  у нее был?😳"
101,🙏
102,Тупые тётки!
103,"Сколько же дебилоидов, диву даешься..."
104,Хорошо б она вообще больше рожать не смогла
105,"Сколько таких ""семей"" по всей стране?"
106,"[id590303167|Валерий], зато мы ,,великие,, жители России."
107,
108,"[id192566465|Людмила], говна везде хватает"
109,"[id192566465|Людмила], сплош и рядом такое,вы там просто не живёте что бы знать об этом в том объеме как здесь.Ват лишь малый пример с нашими детьми и можно так же найти что творят со своими..."
110,"[id192566465|Людмила], фильм на реальных событиях.."
111,"[id192566465|Людмила], так же у них есть целые районы в которые даже полиция не ездит,там наркомания и преступность.."
112,"🤣это не пропаганда а новости..
Сейчас вы пропагандируете что здесь всё плохо..Конечно хорошо там где нас нет.
Конечно у каждого своя правда.Да и что вам мешает уехать где хорошо и где дети а не находиться среди тех кто плохой?😏"
113,"[id192566465|Людмила], кстати фильм Германия снимала,так и при чем тут пропаганда?"
114,Жаль что в нашей стране нет смертной казни
115,"[id606552086|Oleg], Вагнера очистят их души"
116,"[id606552086|Oleg], и пожизненного для женского пола"
117,"[id606552086|Oleg], смерть для них слишком просто, пусть мучаются всю жизнь."
118,"[id597757161|Мила], согласен на все 100"
119,Твари🤬🤦‍♂️💯👌
120,"Сейчас время такое ,у слабых без душных существ едет просто крыша, от такой жизни ( всё идёт с верху, задумайтесь люди"
121,"[id620358798|Игорь], какая жизнь, от безделия крыша едит, после войны и во время, войны женщины, с, кучей детей оставались, никто ни кого не убивал. Я не верю, что находят себе оправдания, нет работы, тяжело жить, да просто обнаглели и не хотят работать. Кто трудиться тот и нормально живёт и не надо оправдывать убийц. Просто надо ввести соразмерное  наказание, убил и тебе смерть. Конченные твари, особенно мать."
122,"[id620358798|Игорь], ну это не значит что если поехала кукуха, то надо сразу забить досмерти. Много людей живущих в стрессе каждый день, но так не делают."
123,Уёпки
124,Твари !
125,Уёпки
126,"Господи, и как таких земля только носит😢😢😢"
127,Как страшно за деток. Зачем бог таким детей вообще даёт то
128,"[id487894544|Ирина], он есть?"
129,Уроды
130,"[id525553593|Роза], сама урод"
131,🙏🙏🙏Царствие небесное. Мягких облачков 🌹🌹🌹🌹
132,"[id562168782|Елена], и теье тоже"
133,Нужно легализовать эфтаназию для таких
134,Родители больные что ли? Извращенцы какие то?
135,"[id58675600|Виктор], в цирк уродов может сдадут"
136,"[id362843540|Алиса], пенсию будут получать за инвалида."
137,"[id362843540|Алиса], из-за таких уродов как вы и такие как вы существовали цирки уродов!"
138,"[id209213321|Ириша], это точно."
139,"Молодцы родители,дети ни в чём не виноваты!!!"
140,дети не виноваты но как ему дальше жить?
141,А как тогда многие другие живут!
142,живут мучаясь и мечтая о смерти
143,А от кудого вы знаете о чём рни мечтают?
144,"[id408746235|Геннадий], не глупи"
145,"Извените,но я не вижу здесь ничего глупого!!!"
146,"[id408746235|Геннадий], ты просто еще не страдал"
147,А вы страдали???
148,"[id408746235|Геннадий], Я вилел и боль и страдания"
149,"Много кто из нас это видел,и что из этого?"
150,Здоровья им
151,"[id408746235|Геннадий], кому! Анэнцефалу?"
152,Ну не вам же!!!
153,"[id408746235|Геннадий], мне нормально.
Я работаю в этой сфере, моя задача - не допустить рождения таких."
154,Ну ну
155,Работайте
156,"[id408746235|Геннадий], что тебе ну! Неясно что-то?"
157,"Не тебе,а вам для начала!"
158,"[id408746235|Геннадий], пфф"
159,Работники херовы!
160,"[id408746235|Геннадий], к сожалению, такие детки долго не живут, если у него конечно именно тот диагноз"
161,"Бедный ребёнок, тупорылые родители обрели ребенка на мучения на всю жизнь ."
162,"[id204315799|Елена], Вся жизнь у него продлится, максимум до 3 лет! 
Мозгу не где будет развиваться."
163,"Зачем он вам,никогда не пойму таких родителей."
164,"[id441860364|Ольга], а вы что от ребенка отказались бы???? Ну и логика!"
165,"[id663715030|Любовь], да,отказалась бы."
166,"[id441860364|Ольга], а как жить с таким грузом в душе, что где-то моя кровиночка, даже с потологией, я даже не знаю, тяжело."
167,Вам только зололой ребёнок.
168,"[id663715030|Любовь], если бы я знала что у меня был бы такой ребенок ,я бы избавилась от него , чтоб потом не обретать ребенка на пожизненные мучение"
169,"[id204315799|Елена], а если бы не знали???"
170,"[id663715030|Любовь], такие поталогие на ранних сроках узнается и предупреждается ,"
171,"[id204315799|Елена], не всегда, бывают разные случаи, генетический анализ не показал, а ребенок родился с синдромом дауна, это у моих знакомых."
172,Этого малыша всегда с новой историей выставляют.Не надоело людей дурачить?
173,"[id244319774|Нина], народу не привыкать от какаго источника информации дурачиться"
174,этим фото больше 7 лет...
175,"Для чего врачи ребенка удерживали, не отдавали родителям? распродали бы на органы…"
176,"[id137242153|Ирина], врачи не имеют право удерживать ребенка"
177,"[id137242153|Ирина], бредятина это все"
178,"[id309615145|Маша], у нас многое чего «не имеют право», а делают"
179,"почитал комментарии. есть злобные, есть и безумные

ребёнок родился в результате своей кармы."
180,"[id212874081|Иеремия], это патология развития!"
181,Лишнее отрежут..
182,"[id144963038|Роберт], у нас может быть отрежут, а там всю семью сожгут, скажут проклятие и все такое"
183,"[id386366795|Ksenia], слушайте больше идиотню, которая считает, что за кордоном россеюшки исключительно люди с пёсими головами"
184,
185,
186,"Малыш появился здоровым,а сестра выходит 3го брата поглатила?"
187,"[id332428256|Надежда], я тоже не всё поняла..."
188,Отстойная тайская медицина
189,Кто здоровый родился и кто поглотил другого? Абракадабра
190,А это было!?...всякую хрень в ВК не выкидывайте
191,"ВСПОМНИТЬ ВСЁ "" , КУАТО ВОЗВРАЩАЕТСЯ , 
В главной роли Арнольд Шварценеггер !! , будущее не за горами .."
192,
193,Бедеое детя
194,Не удивительно они творят сейчас что хотят
195,"[id734096075|Капитан], Путин изм"
196,Таких полицаев мой дед на столбах вешал
197,"[id527717716|Александр], и мой батя."
198,Убийцы
199,Оборотни в погонах . Ублюдки !
200,Это беспредел. И максимум то уволят.
201,Бедная женщина! Уволят? Да им сроки да подольше и скорее. Ублюдки убили не в чем не повиного человека.твари
202,"[id486670578|Соня], ворон ворону глаз не выклюет. Вряд ли."
203,"[id759294143|Дмитрий], прокуратура на что?темболие огласка! Поедут отдохнут валенки стране пошьют! Главное что бы их не среди ментов посадили, а среди обычных зеков !"
204,"[id486670578|Соня], откуда такая вера в правосудие в России? Вы неделю назад приехали в Россию?"
205,"[id163870064|Яр], вера в правосудие потому что женщина дала огласку, народ потребует их посадить! Живу тут с рождения кстати это моя родина! И есть люди в органах хорошие. Это дело сто процентов на контроль возьмут в прокуратуре .. да и вообще до Бастрыкина дойдёт 1000%"
206,"Это полицаи, их такими сделали наши правители, надевали им полномочий, все против народа."
207,"[id486670578|Соня],"
208,"[id652602609|Александр], хах)"
209,"Твари, вечных им мучений"
210,ДАЖЕ И СЛОВ НЕТ !УБЛЮДКОВ ЭТИХ ПОЛИЦАЕВ НА СВО СВОЛОЧЕЙ ОТПРАВИТ НАДО .СЛИШКОМ МНОГО РАЗВЕЛОСЬ ИХ.
211,"[id424565210|Виля], какое им сво, схерали им такой шанс?! Нет уж пусть в лагеря едут! И к обычным людям к обычным зекам, не к ментам как их обычно садятся среди ментов."
212,"[id486670578|Соня], а не сам ли мужик был виноват, когда бухой, пытался в психушку к другу вломиться? Зачем он оказывал сопротивление?"
213,"[id424565210|Виля], нельзя их туда отправлять , перебегут на сторону врага . Будут снова безнаказанно убивать и издеваться ."
214,"[id424565210|Виля], цепные псы, служат хозяину который плохо кормит."
215,"[id511739785|Сергей], даже если человек оказал сопротивление, его что убивать надо."
216,"[id511739785|Сергей], это что повод убить?!"
217,"[id615584538|Смирнов-Игорь], а кто его убил? Он сам себя убил. Не сопротивлялся бы, а сел нормально, то и жив бы остался. А так его запихнули как смогли."
218,"[id486670578|Соня], а зачем нарушать закон? Его, что, специально убили? Его даже не били, как тут описано а просто в машину засунули как смогли."
219,"[id511739785|Сергей], да все мы не без гриха, ну не мог же он умереть от того что его запихали в машину . Походу ногами и дубинками писали!"
220,"[id511739785|Сергей], блин был бы это не дай бог ваш родственник .да представляю как вы бы тут опу рвали. А вы походу сами в погонах...."
221,Ублюдки
222,"Жесть. Бедная женщина.. Видно , что в шоке. Любила мужа. И даже в такой ситуации она не кидается на них, на убийц своего мужа, а говорит ""вы что наделали, мужики?!""  как мне её жаль.!!!! Как жаль мужа.... Берегите себя, люди. 1 момент и вам нет..."
223,"[id64605145|Галина], а вот тех, кто действительно совершил вооружённый разбой и похищение несовершеннолетних арестовывать не стали.. Так произошло с моей семьёй.."
224,На Украину этих блядей
225,Ужас...
226,Капать? 🤔☝ ты чего несёшь админ
227,"[id620358798|Игорь], капельница"
228,Демон (((
229,И фото второго ребенка вообще из другого случая
230,"[id327098110|Ирина], это да врут мужское и женское кадры от туда"
231,"[id327098110|Ирина], связанный ребёнок явно не 7-мес."
232,"Скотина!!! В местах не столь отдалённых ему все кости переломают, и будут правы, бог всё видит, и месть будет страшна."
233,Жаль нет смертной казни для таких
234,Кончиный урод😡😡😡
235,"У меня второй ребенок, младшей годик, я наоборот, не могу уснуть, если не слышу ее, мне нужен ее храп. А иногда когда они тихо спит, я даже побаиваюсь и подхожу, посмотрев, дышит ли )"
236,"[id745962781|Джон], ой не говорите, таже история"
237,"[id745962781|Джон], тут не про вас речь)"
238,Чтоб этого папашу раком ставили в параше... Тварь проклятая... 👎👎👎
239,Демон в человеческом облике!
240,Почему всегда рожи таких уродов скрывают?
241,"Когда же пешеходы начнут смотреть пропускают ли их,а потом переходить.В первую очередь это ваша жизнь и ваших детей.Водитель виноват 100%."
242,"[id233127322|Наталья], водила ни видел пешеходов????когда они начнут смотреть"
243,"[id737954411|Ирина], пешеход обязан убедиться что его пропускают."
244,"[id233127322|Наталья], см видео 😱"
245,"[id233127322|Наталья], ты о чем вообще🙉водятел обязан тормозить перед пешеходным переходом когда там люди,ВСЕГДА"
246,"[id638056890|Наталья'], обязан! Но и пешеход обязан! А если тормоза отказали?"
247,"[id144174316|Инга], один раз на миллион"
248,"[id638056890|Наталья'], что тычешь мне.Вот потом такие тупые пешеходы,что им везде обязаны,плачут горькими слезами.Пешеход всегда прав,но не всегда жив."
249,"[id233127322|Наталья], да я с вами согласна. В наше время лучше остановиться и подождать реакцию водителя, соизволит ли его величество пропустить и только потом идти. В наше время Надежда только на себя."
250,"[id233127322|Наталья], все сказала?Облизнись🤣"
251,"[id638056890|Наталья'], неадекватная"
252,Водитель виноват при чем сдесь пешеход
253,"[id244985956|Вера], как так можно не посмотреть на левой на право не убедится в безопасности тем более впереди каляска с ребёнком"
254,"[id244985956|Вера], пешеход виноват сам перед собой... Прежде чем переходить дорогу по пешеходной  не регулируемой зебре, пешеход ОБЯЗАН остановиться, посмотреть на лево, на право, УБЕДИТЬСЯ что его пропускают все транспортные средства и только начать движение... причём дойти до середины и снова УБЕДИТЬСЯ что никто на него не едит и завершить переход... Это нужно для безопасности самого пешехода. Безусловно.. со стороны водителя  ОБЯЗАННОСТЬ снизить скорость перед пешеходкой и пропустить пешехода.. Вина с обеих сторон, но больше водитель, так как он управляет авто а  это средство повышенной опасности!"
255,"За рулём может быть кто угодно ,я лично всегда смотрю по сторонам ..Беречь надо себя ."
256,"[id244985956|Вера], вина пешехода и водителя в этой ситуации 50/50 !!!"
257,"[id512659996|Наталья], направо то зачем, не уловил твоей глупой мысли? 🙄"
