image_id,text,name,group,sub_group,emoji,train
82,Удрученное лицо с потом,face with cold sweat,Smileys & Emotion,face-concerned,😓,1
83,Изнывающее лицо,weary face,Smileys & Emotion,face-concerned,😩,1
84,Усталое лицо,tired face,Smileys & Emotion,face-concerned,😫,1
85,Лицо с паром из носа,face with look of triumph,Smileys & Emotion,face-negative,😤,1
86,Надутое лицо,pouting face,Smileys & Emotion,face-negative,😡,1
87,Сердитое лицо,angry face,Smileys & Emotion,face-negative,😠,1
88,Ругающееся лицо,serious face with symbols covering mouth,Smileys & Emotion,face-negative,🤬,1
89,Улыбающееся лицо с рожками,smiling face with horns,Smileys & Emotion,face-negative,😈,1
90,Сердитое лицо с рожками,imp,Smileys & Emotion,face-negative,👿,1
91,Череп,skull,Smileys & Emotion,face-negative,💀,1
92,Череп и кости,skull and crossbones,Smileys & Emotion,face-negative,☠,1
93,Улыбающаяся какашка,pile of poo,Smileys & Emotion,face-costume,💩,1
94,Клоун,clown face,Smileys & Emotion,face-costume,🤡,1
95,Великан-людоед,japanese ogre,Smileys & Emotion,face-costume,👹,1
96,Гоблин,japanese goblin,Smileys & Emotion,face-costume,👺,1
97,Привидение,ghost,Smileys & Emotion,face-costume,👻,1
98,Инопланетянин,extraterrestrial alien,Smileys & Emotion,face-costume,👽,1
99,Инопланетный монстр,alien monster,Smileys & Emotion,face-costume,👾,1
100,Робот,robot face,Smileys & Emotion,face-costume,🤖,1
101,Ухмыляющееся лицо кота,smiling cat face with open mouth,Smileys & Emotion,cat-face,😺,1
102,Улыбающееся лицо кота с улыбающимися глазами,grinning cat face with smiling eyes,Smileys & Emotion,cat-face,😸,1
103,Лицо кота со слезами радости,cat face with tears of joy,Smileys & Emotion,cat-face,😹,1
104,Лицо кота с глазами-сердечками,smiling cat face with heart shaped eyes,Smileys & Emotion,cat-face,😻,1
105,Кошачье лицо с кривой улыбкой,cat face with wry smile,Smileys & Emotion,cat-face,😼,1
106,Целующее лицо кота с закрытыми глазами,kissing cat face with closed eyes,Smileys & Emotion,cat-face,😽,1
107,Усталое лицо кота,weary cat face,Smileys & Emotion,cat-face,🙀,0
108,Плачущее лицо кота,crying cat face,Smileys & Emotion,cat-face,😿,1
109,Надутое лицо кота,pouting cat face,Smileys & Emotion,cat-face,😾,1
110,"Обезьянка, которая не видит зла",see no evil monkey,Smileys & Emotion,monkey-face,🙈,1
111,"Обезьянка, которая не слышит зла",hear no evil monkey,Smileys & Emotion,monkey-face,🙉,1
112,"Обезьянка, которая не говорит зла",speak no evil monkey,Smileys & Emotion,monkey-face,🙊,1
113,Поцелуй,kiss mark,Smileys & Emotion,emotion,💋,1
114,Любовное письмо,love letter,Smileys & Emotion,emotion,💌,0
115,Сердце со стрелой,heart with arrow,Smileys & Emotion,emotion,💘,1
116,Сердце с ленточкой,heart with ribbon,Smileys & Emotion,emotion,💝,1
117,Сверкающее сердце,sparkling heart,Smileys & Emotion,emotion,💖,1
118,Растущее сердце,growing heart,Smileys & Emotion,emotion,💗,1
119,Бьющееся сердце,beating heart,Smileys & Emotion,emotion,💓,1
120,Вращающиеся сердца,revolving hearts,Smileys & Emotion,emotion,💞,1
121,Два сердца,two hearts,Smileys & Emotion,emotion,💕,1
122,Украшение в форме сердца,heart decoration,Smileys & Emotion,emotion,💟,1
123,Сердце-восклицательный знак,heavy heart exclamation mark ornament,Smileys & Emotion,emotion,❣,1
124,Разбитое сердце,broken heart,Smileys & Emotion,emotion,💔,0
125,Красное сердце,heavy black heart,Smileys & Emotion,emotion,❤,1
126,Оранжевое сердце,orange heart,Smileys & Emotion,emotion,🧡,1
127,Желтое сердце,yellow heart,Smileys & Emotion,emotion,💛,1
128,Зеленое сердце,green heart,Smileys & Emotion,emotion,💚,1
129,Синее сердце,blue heart,Smileys & Emotion,emotion,💙,1
130,Фиолетовое сердце,purple heart,Smileys & Emotion,emotion,💜,1
131,Черное сердце,black heart,Smileys & Emotion,emotion,🖤,1
132,Сто очков,hundred points symbol,Smileys & Emotion,emotion,💯,1
133,Значок гнева,anger symbol,Smileys & Emotion,emotion,💢,1
134,Столкновение,collision symbol,Smileys & Emotion,emotion,💥,1
135,Головокружение,dizzy symbol,Smileys & Emotion,emotion,💫,1
136,Капли пота,splashing sweat symbol,Smileys & Emotion,emotion,💦,1
137,Мчусь прочь,dash symbol,Smileys & Emotion,emotion,💨,1
138,Яма,hole,Smileys & Emotion,emotion,🕳,1
139,Бомба,bomb,Smileys & Emotion,emotion,💣,1
140,Шарик прямой речи,speech balloon,Smileys & Emotion,emotion,💬,0
141,Глаз в облачке прямой речи,eye in speech bubble,Smileys & Emotion,emotion,👁️‍🗨️,1
142,Левостороннее облачко прямой речи,left speech bubble,Smileys & Emotion,emotion,🗨,1
143,Правостороннее облачко гнева,right anger bubble,Smileys & Emotion,emotion,🗯,1
144,Мысленный шарик,thought balloon,Smileys & Emotion,emotion,💭,1
145,Сон,sleeping symbol,Smileys & Emotion,emotion,💤,0
146,Машущая рука,waving hand sign,People & Body,hand-fingers-open,👋,1
147,Машущая рука,waving hand sign,People & Body,hand-fingers-open,👋🏻,1
148,Машущая рука,waving hand sign,People & Body,hand-fingers-open,👋🏼,1
149,Машущая рука,waving hand sign,People & Body,hand-fingers-open,👋🏽,1
150,Машущая рука,waving hand sign,People & Body,hand-fingers-open,👋🏾,1
151,Машущая рука,waving hand sign,People & Body,hand-fingers-open,👋🏿,1
152,Поднятая тыльная сторона руки,raised back of hand,People & Body,hand-fingers-open,🤚,1
153,Поднятая тыльная сторона руки,raised back of hand,People & Body,hand-fingers-open,🤚🏻,1
154,Поднятая тыльная сторона руки,raised back of hand,People & Body,hand-fingers-open,🤚🏼,1
155,Поднятая тыльная сторона руки,raised back of hand,People & Body,hand-fingers-open,🤚🏽,1
156,Поднятая тыльная сторона руки,raised back of hand,People & Body,hand-fingers-open,🤚🏾,1
157,Поднятая тыльная сторона руки,raised back of hand,People & Body,hand-fingers-open,🤚🏿,1
158,Рука с растопыренными пальцами,raised hand with fingers splayed,People & Body,hand-fingers-open,🖐,1
159,Рука с растопыренными пальцами,raised hand with fingers splayed,People & Body,hand-fingers-open,🖐🏻,1
160,Рука с растопыренными пальцами,raised hand with fingers splayed,People & Body,hand-fingers-open,🖐🏼,1
161,Рука с растопыренными пальцами,raised hand with fingers splayed,People & Body,hand-fingers-open,🖐🏽,1
162,Рука с растопыренными пальцами,raised hand with fingers splayed,People & Body,hand-fingers-open,🖐🏾,1
163,Рука с растопыренными пальцами,raised hand with fingers splayed,People & Body,hand-fingers-open,🖐🏿,1
164,Поднятая рука,raised hand,People & Body,hand-fingers-open,✋,1
165,Поднятая рука,raised hand,People & Body,hand-fingers-open,✋🏻,1
166,Поднятая рука,raised hand,People & Body,hand-fingers-open,✋🏼,1
167,Поднятая рука,raised hand,People & Body,hand-fingers-open,✋🏽,1
168,Поднятая рука,raised hand,People & Body,hand-fingers-open,✋🏾,1
169,Поднятая рука,raised hand,People & Body,hand-fingers-open,✋🏿,1
170,Вулканский салют,raised hand with part between middle and ring fingers,People & Body,hand-fingers-open,🖖,1
171,Вулканский салют,raised hand with part between middle and ring fingers,People & Body,hand-fingers-open,🖖🏻,1
172,Вулканский салют,raised hand with part between middle and ring fingers,People & Body,hand-fingers-open,🖖🏼,1
173,Вулканский салют,raised hand with part between middle and ring fingers,People & Body,hand-fingers-open,🖖🏽,1
174,Вулканский салют,raised hand with part between middle and ring fingers,People & Body,hand-fingers-open,🖖🏾,1
175,Вулканский салют,raised hand with part between middle and ring fingers,People & Body,hand-fingers-open,🖖🏿,1
176,Окей,ok hand sign,People & Body,hand-fingers-partial,👌,1
177,Окей,ok hand sign,People & Body,hand-fingers-partial,👌🏻,1
178,Окей,ok hand sign,People & Body,hand-fingers-partial,👌🏼,1
179,Окей,ok hand sign,People & Body,hand-fingers-partial,👌🏽,1
180,Окей,ok hand sign,People & Body,hand-fingers-partial,👌🏾,1
181,Окей,ok hand sign,People & Body,hand-fingers-partial,👌🏿,1
182,Мир,victory hand,People & Body,hand-fingers-partial,✌,1
183,Мир,victory hand,People & Body,hand-fingers-partial,✌🏻,1
184,Мир,victory hand,People & Body,hand-fingers-partial,✌🏼,1
185,Мир,victory hand,People & Body,hand-fingers-partial,✌🏽,1
186,Мир,victory hand,People & Body,hand-fingers-partial,✌🏾,1
187,Мир,victory hand,People & Body,hand-fingers-partial,✌🏿,1
188,Скрещенные пальцы,hand with index and middle fingers crossed,People & Body,hand-fingers-partial,🤞,1
189,Скрещенные пальцы,hand with index and middle fingers crossed,People & Body,hand-fingers-partial,🤞🏻,1
190,Скрещенные пальцы,hand with index and middle fingers crossed,People & Body,hand-fingers-partial,🤞🏼,1
191,Скрещенные пальцы,hand with index and middle fingers crossed,People & Body,hand-fingers-partial,🤞🏽,1
192,Скрещенные пальцы,hand with index and middle fingers crossed,People & Body,hand-fingers-partial,🤞🏾,1
193,Скрещенные пальцы,hand with index and middle fingers crossed,People & Body,hand-fingers-partial,🤞🏿,1
194,Жест «Люблю тебя»,i love you hand sign,People & Body,hand-fingers-partial,🤟,1
195,Жест «Люблю тебя»,i love you hand sign,People & Body,hand-fingers-partial,🤟🏻,1
196,Жест «Люблю тебя»,i love you hand sign,People & Body,hand-fingers-partial,🤟🏼,1
197,Жест «Люблю тебя»,i love you hand sign,People & Body,hand-fingers-partial,🤟🏽,1
198,Жест «Люблю тебя»,i love you hand sign,People & Body,hand-fingers-partial,🤟🏾,1
199,Жест «Люблю тебя»,i love you hand sign,People & Body,hand-fingers-partial,🤟🏿,1
200,Рога,sign of the horns,People & Body,hand-fingers-partial,🤘,1
201,Рога,sign of the horns,People & Body,hand-fingers-partial,🤘🏻,1
202,Рога,sign of the horns,People & Body,hand-fingers-partial,🤘🏼,1
203,Рога,sign of the horns,People & Body,hand-fingers-partial,🤘🏽,1
204,Рога,sign of the horns,People & Body,hand-fingers-partial,🤘🏾,1
205,Рога,sign of the horns,People & Body,hand-fingers-partial,🤘🏿,1
206,Позвони мне,call me hand,People & Body,hand-fingers-partial,🤙,1
207,Позвони мне,call me hand,People & Body,hand-fingers-partial,🤙🏻,1
208,Позвони мне,call me hand,People & Body,hand-fingers-partial,🤙🏼,1
209,Позвони мне,call me hand,People & Body,hand-fingers-partial,🤙🏽,1
210,Позвони мне,call me hand,People & Body,hand-fingers-partial,🤙🏾,1
211,Позвони мне,call me hand,People & Body,hand-fingers-partial,🤙🏿,1
212,Влево,white left pointing backhand index,People & Body,hand-single-finger,👈,1
213,Влево,white left pointing backhand index,People & Body,hand-single-finger,👈🏻,1
214,Влево,white left pointing backhand index,People & Body,hand-single-finger,👈🏼,1
215,Влево,white left pointing backhand index,People & Body,hand-single-finger,👈🏽,1
216,Влево,white left pointing backhand index,People & Body,hand-single-finger,👈🏾,1
217,Влево,white left pointing backhand index,People & Body,hand-single-finger,👈🏿,1
218,Вправо,white right pointing backhand index,People & Body,hand-single-finger,👉,1
219,Вправо,white right pointing backhand index,People & Body,hand-single-finger,👉🏻,1
220,Вправо,white right pointing backhand index,People & Body,hand-single-finger,👉🏼,1
221,Вправо,white right pointing backhand index,People & Body,hand-single-finger,👉🏽,1
222,Вправо,white right pointing backhand index,People & Body,hand-single-finger,👉🏾,1
223,Вправо,white right pointing backhand index,People & Body,hand-single-finger,👉🏿,1
224,Вверх,white up pointing backhand index,People & Body,hand-single-finger,👆,1
225,Вверх,white up pointing backhand index,People & Body,hand-single-finger,👆🏻,1
226,Вверх,white up pointing backhand index,People & Body,hand-single-finger,👆🏼,1
227,Вверх,white up pointing backhand index,People & Body,hand-single-finger,👆🏽,1
228,Вверх,white up pointing backhand index,People & Body,hand-single-finger,👆🏾,1
229,Вверх,white up pointing backhand index,People & Body,hand-single-finger,👆🏿,1
230,Средний палец,reversed hand with middle finger extended,People & Body,hand-single-finger,🖕,1
231,Средний палец,reversed hand with middle finger extended,People & Body,hand-single-finger,🖕🏻,1
232,Средний палец,reversed hand with middle finger extended,People & Body,hand-single-finger,🖕🏼,1
233,Средний палец,reversed hand with middle finger extended,People & Body,hand-single-finger,🖕🏽,1
234,Средний палец,reversed hand with middle finger extended,People & Body,hand-single-finger,🖕🏾,1
235,Средний палец,reversed hand with middle finger extended,People & Body,hand-single-finger,🖕🏿,1
236,Вниз,white down pointing backhand index,People & Body,hand-single-finger,👇,1
237,Вниз,white down pointing backhand index,People & Body,hand-single-finger,👇🏻,1
238,Вниз,white down pointing backhand index,People & Body,hand-single-finger,👇🏼,1
239,Вниз,white down pointing backhand index,People & Body,hand-single-finger,👇🏽,1
240,Вниз,white down pointing backhand index,People & Body,hand-single-finger,👇🏾,1
241,Вниз,white down pointing backhand index,People & Body,hand-single-finger,👇🏿,1
242,Внимание!,white up pointing index,People & Body,hand-single-finger,☝,1
243,Внимание!,white up pointing index,People & Body,hand-single-finger,☝🏻,1
244,Внимание!,white up pointing index,People & Body,hand-single-finger,☝🏼,1
245,Внимание!,white up pointing index,People & Body,hand-single-finger,☝🏽,1
246,Внимание!,white up pointing index,People & Body,hand-single-finger,☝🏾,1
247,Внимание!,white up pointing index,People & Body,hand-single-finger,☝🏿,1
248,Класс,thumbs up sign,People & Body,hand-fingers-closed,👍,0
249,Класс,thumbs up sign,People & Body,hand-fingers-closed,👍🏻,0
250,Класс,thumbs up sign,People & Body,hand-fingers-closed,👍🏼,0
251,Класс,thumbs up sign,People & Body,hand-fingers-closed,👍🏽,0
252,Класс,thumbs up sign,People & Body,hand-fingers-closed,👍🏾,0
253,Класс,thumbs up sign,People & Body,hand-fingers-closed,👍🏿,0
254,Отстой,thumbs down sign,People & Body,hand-fingers-closed,👎,1
255,Отстой,thumbs down sign,People & Body,hand-fingers-closed,👎🏻,1
256,Отстой,thumbs down sign,People & Body,hand-fingers-closed,👎🏼,1
257,Отстой,thumbs down sign,People & Body,hand-fingers-closed,👎🏽,1
258,Отстой,thumbs down sign,People & Body,hand-fingers-closed,👎🏾,1
259,Отстой,thumbs down sign,People & Body,hand-fingers-closed,👎🏿,1
260,Поднятый вверх кулак,raised fist,People & Body,hand-fingers-closed,✊,1
261,Поднятый вверх кулак,raised fist,People & Body,hand-fingers-closed,✊🏻,1
262,Поднятый вверх кулак,raised fist,People & Body,hand-fingers-closed,✊🏼,1
263,Поднятый вверх кулак,raised fist,People & Body,hand-fingers-closed,✊🏽,1
264,Поднятый вверх кулак,raised fist,People & Body,hand-fingers-closed,✊🏾,1
265,Поднятый вверх кулак,raised fist,People & Body,hand-fingers-closed,✊🏿,1
266,Приближающийся кулак,fisted hand sign,People & Body,hand-fingers-closed,👊,1
267,Приближающийся кулак,fisted hand sign,People & Body,hand-fingers-closed,👊🏻,1
268,Приближающийся кулак,fisted hand sign,People & Body,hand-fingers-closed,👊🏼,1
269,Приближающийся кулак,fisted hand sign,People & Body,hand-fingers-closed,👊🏽,1
270,Приближающийся кулак,fisted hand sign,People & Body,hand-fingers-closed,👊🏾,1
271,Приближающийся кулак,fisted hand sign,People & Body,hand-fingers-closed,👊🏿,1
272,Повернутый влево кулак,left facing fist,People & Body,hand-fingers-closed,🤛,0
273,Повернутый влево кулак,left facing fist,People & Body,hand-fingers-closed,🤛🏻,0
274,Повернутый влево кулак,left facing fist,People & Body,hand-fingers-closed,🤛🏼,0
275,Повернутый влево кулак,left facing fist,People & Body,hand-fingers-closed,🤛🏽,0
276,Повернутый влево кулак,left facing fist,People & Body,hand-fingers-closed,🤛🏾,0
277,Повернутый влево кулак,left facing fist,People & Body,hand-fingers-closed,🤛🏿,0
278,Повернутый вправо кулак,right facing fist,People & Body,hand-fingers-closed,🤜,1
279,Повернутый вправо кулак,right facing fist,People & Body,hand-fingers-closed,🤜🏻,1
280,Повернутый вправо кулак,right facing fist,People & Body,hand-fingers-closed,🤜🏼,1
281,Повернутый вправо кулак,right facing fist,People & Body,hand-fingers-closed,🤜🏽,1
282,Повернутый вправо кулак,right facing fist,People & Body,hand-fingers-closed,🤜🏾,1
283,Повернутый вправо кулак,right facing fist,People & Body,hand-fingers-closed,🤜🏿,1
284,Хлопающие руки,clapping hands sign,People & Body,hands,👏,1
285,Хлопающие руки,clapping hands sign,People & Body,hands,👏🏻,1
286,Хлопающие руки,clapping hands sign,People & Body,hands,👏🏼,1
287,Хлопающие руки,clapping hands sign,People & Body,hands,👏🏽,1
288,Хлопающие руки,clapping hands sign,People & Body,hands,👏🏾,1
289,Хлопающие руки,clapping hands sign,People & Body,hands,👏🏿,1
290,Поднятые вверх руки,person raising both hands in celebration,People & Body,hands,🙌,1
291,Поднятые вверх руки,person raising both hands in celebration,People & Body,hands,🙌🏻,1
292,Поднятые вверх руки,person raising both hands in celebration,People & Body,hands,🙌🏼,1
293,Поднятые вверх руки,person raising both hands in celebration,People & Body,hands,🙌🏽,1
294,Поднятые вверх руки,person raising both hands in celebration,People & Body,hands,🙌🏾,1
295,Поднятые вверх руки,person raising both hands in celebration,People & Body,hands,🙌🏿,1
296,Открытые ладони,open hands sign,People & Body,hands,👐,1
297,Открытые ладони,open hands sign,People & Body,hands,👐🏻,1
298,Открытые ладони,open hands sign,People & Body,hands,👐🏼,1
299,Открытые ладони,open hands sign,People & Body,hands,👐🏽,1
300,Открытые ладони,open hands sign,People & Body,hands,👐🏾,1
301,Открытые ладони,open hands sign,People & Body,hands,👐🏿,1
302,Поднятые вверх ладони,palms up together,People & Body,hands,🤲,1
303,Поднятые вверх ладони,palms up together,People & Body,hands,🤲🏻,1
304,Поднятые вверх ладони,palms up together,People & Body,hands,🤲🏼,1
305,Поднятые вверх ладони,palms up together,People & Body,hands,🤲🏽,1
306,Поднятые вверх ладони,palms up together,People & Body,hands,🤲🏾,1
307,Поднятые вверх ладони,palms up together,People & Body,hands,🤲🏿,1
308,Рукопожатие,handshake,People & Body,hands,🤝,1
309,Сложенные руки,person with folded hands,People & Body,hands,🙏,1
310,Сложенные руки,person with folded hands,People & Body,hands,🙏🏻,1
311,Сложенные руки,person with folded hands,People & Body,hands,🙏🏼,1
312,Сложенные руки,person with folded hands,People & Body,hands,🙏🏽,1
313,Сложенные руки,person with folded hands,People & Body,hands,🙏🏾,1
314,Сложенные руки,person with folded hands,People & Body,hands,🙏🏿,1
315,Пишущая рука,writing hand,People & Body,hand-prop,✍,1
316,Пишущая рука,writing hand,People & Body,hand-prop,✍🏻,1
317,Пишущая рука,writing hand,People & Body,hand-prop,✍🏼,1
318,Пишущая рука,writing hand,People & Body,hand-prop,✍🏽,1
319,Пишущая рука,writing hand,People & Body,hand-prop,✍🏾,1
320,Пишущая рука,writing hand,People & Body,hand-prop,✍🏿,1
321,Нанесение лака,nail polish,People & Body,hand-prop,💅,1
322,Нанесение лака,nail polish,People & Body,hand-prop,💅🏻,1
323,Нанесение лака,nail polish,People & Body,hand-prop,💅🏼,1
324,Нанесение лака,nail polish,People & Body,hand-prop,💅🏽,1
325,Нанесение лака,nail polish,People & Body,hand-prop,💅🏾,1
326,Нанесение лака,nail polish,People & Body,hand-prop,💅🏿,1
327,Селфи,selfie,People & Body,hand-prop,🤳,1
328,Селфи,selfie,People & Body,hand-prop,🤳🏻,1
329,Селфи,selfie,People & Body,hand-prop,🤳🏼,1
330,Селфи,selfie,People & Body,hand-prop,🤳🏽,1
331,Селфи,selfie,People & Body,hand-prop,🤳🏾,1
332,Селфи,selfie,People & Body,hand-prop,🤳🏿,1
333,Бицепс,flexed biceps,People & Body,body-parts,💪,1
334,Бицепс,flexed biceps,People & Body,body-parts,💪🏻,1
335,Бицепс,flexed biceps,People & Body,body-parts,💪🏼,1
336,Бицепс,flexed biceps,People & Body,body-parts,💪🏽,1
337,Бицепс,flexed biceps,People & Body,body-parts,💪🏾,1
338,Бицепс,flexed biceps,People & Body,body-parts,💪🏿,1
339,Нога,leg,People & Body,body-parts,🦵,1
340,Нога,leg,People & Body,body-parts,🦵🏻,1
341,Нога,leg,People & Body,body-parts,🦵🏼,1
342,Нога,leg,People & Body,body-parts,🦵🏽,1
343,Нога,leg,People & Body,body-parts,🦵🏾,1
344,Нога,leg,People & Body,body-parts,🦵🏿,1
345,Стопа,foot,People & Body,body-parts,🦶,1
346,Стопа,foot,People & Body,body-parts,🦶🏻,1
347,Стопа,foot,People & Body,body-parts,🦶🏼,1
348,Стопа,foot,People & Body,body-parts,🦶🏽,1
349,Стопа,foot,People & Body,body-parts,🦶🏾,1
350,Стопа,foot,People & Body,body-parts,🦶🏿,1
351,Ухо,ear,People & Body,body-parts,👂,1
352,Ухо,ear,People & Body,body-parts,👂🏻,1
